
Kachin State,Myitkyina (Myintgyinar)
Kachin State,Bhamo (Bamaw)
Kachin State,Bharma
Kachin State,Chipwi (Chibwe)
Kachin State,"Hpakant (Hpakan, Farkent)"
Kachin State,Hopin (Hobin)
Kachin State,Hsinbo (Sinbo)
Kachin State,Hsawlaw (Sawlaw)
Kachin State,Injangyang
Kachin State,Kamaing (Kamine)
Kachin State,Kawnglanghpu (Kaunglanfu)
Kachin State,"Lweje (Loije, Lwalgyai)"
Kachin State,Machanbaw
Kachin State,Mansi
Kachin State,Momauk
Kachin State,Moekaung
Kachin State,Mohnyin
Kachin State,Nogmung (Naungmoon)
Kachin State,Pannandin
Kachin State,Putao
Kachin State,Shwegu
Kachin State,Sumprabum
Kachin State,Tanai (Tanain)
Kachin State,Tsawlaw (Sawlaw)
Kachin State,Waingmaw
Kachin State,Ywathit
Kayah State,Loikaw
Kayah State,Demawso
Kayah State,Pruhso
Kayah State,Shadaw
Kayah State,Bawlakhe
Kayah State,Hpasawng
Kayah State,Maisal
Kayin State,Hpa-an
Kayin State,Hlaingbwe (Hlinebwe)
Kayin State,Papun (Phapun)
Kayin State,Thandang
Kayin State,Thandanggyi (Thantaunggyi)
Kayin State,Myawaddy (Myawadi)
Kayin State,Kawkareik (Kawkareit)
Kayin State,Kyeikdon
Kayin State,Kyain Seikgyi (Kyainseikkyi)
Kayin State,Payathonsu (Hpayarthonesu)
Chin State,"Tedim (Tiddim, Teetain)"
Chin State,Ton Zang (Htonzan)
Chin State,Falam (Phalam)
Chin State,"Hakha (Haka, Harkhar)"
Chin State,Thantlang (Htantlang)
Chin State,Kanpetlet (Kanpatlat)
Chin State,Matupi (Matupe)
Chin State,Mindat (Minthet)
Chin State,Paletwa
Chin State,Cikha
Chin State,Rih Khawdar
Chin State,Razua (Yay Zwar)
Chin State,Sami (Samee)
Mon State,Mawlamyaing
Mon State,Bilin
Mon State,Kyaikmaraw
Mon State,Chaungzon
Mon State,Thanbyuzayat
Mon State,Kyaikkami
Mon State,Mudon
Mon State,Ye
Mon State,Thaton
Mon State,Paung
Mon State,Kyaikto
Mon State,Mottama
Rakhine State,Sittwe (capital)
Rakhine State,Ann
Rakhine State,Buteetaung
Rakhine State,Dalet (Dalat)
Rakhine State,Gwa
Rakhine State,Kyaukpyu
Rakhine State,Kyauktaw
Rakhine State,Kyeintali
Rakhine State,Manaung
Rakhine State,Maungdaw
